city,region,storage_time,time_since_cooking,storage_condition,container_type,food_type,moisture_type,cooking_method,texture,smell,freshness_level
Patna,East,16.8,2.01,outside,plastic,Non-Vegetarian,dry,baked,soggy,fermented,Spoiled
Madurai,South,18.7,6.17,refrigerated,closed,Non-Vegetarian,wet,steamed,dry,fermented,Spoiled
Bhopal,Central,24.8,2.38,outside,open,Dairy,semi-wet,boiled,soft,slight,Spoiled
Bhubaneswar,East,15.9,0.98,outside,open,Dairy,semi-wet,boiled,soft,strong,Spoiled
Guwahati,NorthEast,8.1,2.53,outside,metal,Vegetarian,dry,boiled,moist,slight,Spoiled
Srinagar,North,16.0,2.32,outside,metal,Dairy,semi-wet,steamed,soggy,sour,Spoiled
Guwahati,NorthEast,16.8,1.74,refrigerated,closed,Dairy,semi-wet,boiled,dry,strong,Medium
Raipur,Central,17.7,0.58,outside,open,Bakery,dry,boiled,soft,strong,Spoiled
Bengaluru,South,6.4,0.43,refrigerated,metal,Seafood,semi-wet,fried,crispy,strong,Fresh
Delhi,North,2.5,2.04,refrigerated,plastic,Non-Vegetarian,wet,baked,dry,strong,Medium
Ahmedabad,West,0.0,0.9,refrigerated,closed,Bakery,semi-wet,baked,dry,sour,Fresh
Bhubaneswar,East,10.2,1.07,outside,open,Vegetarian,wet,steamed,soggy,fermented,Spoiled
Nagpur,Central,15.1,0.41,outside,open,Non-Vegetarian,wet,fried,crispy,strong,Spoiled
Raipur,Central,12.8,1.01,refrigerated,metal,Dairy,wet,baked,soft,strong,Medium
Kochi,South,19.9,0.26,refrigerated,closed,Bakery,semi-wet,fried,soft,neutral,Fresh
Raipur,Central,0.0,0.11,outside,closed,Seafood,wet,fried,firm,sour,Medium
Kolkata,East,10.1,1.92,refrigerated,open,Bakery,semi-wet,fried,dry,fermented,Medium
Mumbai,West,30.7,3.19,outside,metal,Vegetarian,semi-wet,boiled,moist,neutral,Spoiled
Shillong,NorthEast,18.2,2.45,refrigerated,metal,Vegetarian,semi-wet,baked,firm,neutral,Fresh
Kolkata,East,27.9,2.46,refrigerated,closed,Dairy,wet,fried,soggy,strong,Spoiled
Shillong,NorthEast,12.6,1.04,outside,open,Seafood,wet,steamed,dry,fermented,Spoiled
Bengaluru,South,10.7,0.3,outside,plastic,Dairy,semi-wet,fried,crispy,sour,Spoiled
Guwahati,East,39.7,3.19,outside,metal,Bakery,dry,baked,crispy,neutral,Spoiled
Guwahati,NorthEast,8.2,4.87,refrigerated,plastic,Seafood,dry,fried,firm,slight,Medium
Hyderabad,South,11.3,8.69,outside,metal,Dairy,semi-wet,baked,soft,slight,Spoiled
Surat,West,14.3,4.14,outside,closed,Vegetarian,semi-wet,steamed,dry,slight,Spoiled
Shillong,NorthEast,16.3,3.3,outside,closed,Dairy,semi-wet,boiled,dry,sour,Spoiled
Surat,West,12.8,5.73,outside,open,Vegetarian,dry,steamed,firm,sour,Spoiled
Nagpur,Central,0.0,9.72,refrigerated,open,Bakery,dry,fried,moist,neutral,Fresh
Patna,East,0.0,7.05,outside,closed,Non-Vegetarian,semi-wet,baked,moist,sour,Spoiled
Goa,West,12.1,3.17,refrigerated,plastic,Non-Vegetarian,wet,baked,firm,slight,Medium
Kolkata,East,0.0,2.79,refrigerated,metal,Non-Vegetarian,wet,fried,soft,neutral,Fresh
Srinagar,North,12.9,2.5,outside,metal,Vegetarian,semi-wet,baked,moist,fermented,Spoiled
Guwahati,NorthEast,6.0,5.58,outside,plastic,Bakery,dry,steamed,firm,slight,Spoiled
Patna,East,8.8,3.53,outside,open,Vegetarian,dry,fried,moist,fermented,Spoiled
Ahmedabad,West,14.3,7.58,outside,metal,Bakery,dry,fried,soggy,fermented,Spoiled
Guwahati,East,12.3,6.43,outside,closed,Bakery,dry,baked,crispy,sour,Spoiled
Shillong,NorthEast,27.8,8.54,refrigerated,metal,Seafood,semi-wet,baked,crispy,sour,Spoiled
Patna,East,12.9,1.61,refrigerated,metal,Dairy,dry,steamed,firm,sour,Medium
Imphal,NorthEast,9.9,0.64,outside,open,Dairy,wet,fried,firm,slight,Spoiled
Indore,Central,6.6,1.17,outside,plastic,Bakery,wet,baked,soggy,strong,Spoiled
Bhopal,Central,12.6,1.42,refrigerated,metal,Bakery,dry,fried,moist,neutral,Fresh
Pune,South,8.3,4.39,refrigerated,plastic,Seafood,semi-wet,fried,dry,strong,Medium
Kolkata,East,11.4,1.99,outside,closed,Seafood,dry,steamed,moist,strong,Spoiled
Guwahati,NorthEast,9.6,1.93,refrigerated,closed,Dairy,wet,steamed,soggy,strong,Medium
Lucknow,North,25.4,3.71,outside,plastic,Seafood,dry,baked,firm,slight,Spoiled
Surat,West,13.2,0.46,outside,open,Seafood,dry,boiled,dry,sour,Spoiled
Lucknow,North,0.8,2.63,outside,plastic,Non-Vegetarian,dry,fried,dry,neutral,Medium
Surat,West,16.0,0.08,outside,metal,Non-Vegetarian,dry,boiled,moist,neutral,Medium
Hyderabad,South,11.4,0.1,outside,metal,Seafood,wet,boiled,firm,sour,Spoiled
Surat,West,38.4,2.52,outside,metal,Vegetarian,dry,boiled,moist,neutral,Spoiled
Patna,East,25.6,3.98,refrigerated,closed,Vegetarian,wet,baked,crispy,fermented,Spoiled
Srinagar,North,9.5,0.18,outside,plastic,Bakery,dry,steamed,soft,fermented,Spoiled
Bhubaneswar,East,10.8,0.54,outside,plastic,Vegetarian,semi-wet,fried,crispy,neutral,Spoiled
Raipur,Central,19.9,2.87,refrigerated,closed,Bakery,wet,steamed,soft,neutral,Medium
Shillong,NorthEast,0.0,5.51,outside,plastic,Dairy,wet,baked,moist,slight,Spoiled
Patna,East,11.4,1.2,outside,metal,Vegetarian,wet,fried,firm,fermented,Spoiled
Goa,West,5.7,1.06,outside,plastic,Vegetarian,wet,boiled,firm,slight,Spoiled
Surat,West,8.1,1.73,refrigerated,metal,Dairy,wet,fried,soggy,neutral,Fresh
Madurai,South,8.4,2.65,outside,closed,Dairy,wet,boiled,moist,strong,Spoiled
Madurai,South,9.7,2.04,refrigerated,closed,Dairy,dry,boiled,firm,neutral,Fresh
Hyderabad,South,24.8,4.93,outside,closed,Non-Vegetarian,semi-wet,baked,crispy,fermented,Spoiled
Guwahati,East,7.2,4.98,refrigerated,metal,Non-Vegetarian,dry,fried,dry,slight,Fresh
Shillong,NorthEast,4.9,3.48,refrigerated,metal,Seafood,wet,fried,soft,strong,Medium
Bhopal,Central,17.2,1.1,outside,closed,Dairy,semi-wet,fried,crispy,strong,Spoiled
Patna,East,12.6,0.23,outside,plastic,Non-Vegetarian,semi-wet,steamed,firm,strong,Spoiled
Kochi,South,22.2,1.45,refrigerated,closed,Non-Vegetarian,semi-wet,fried,dry,neutral,Fresh
Bengaluru,South,15.2,1.92,outside,open,Non-Vegetarian,dry,steamed,soft,fermented,Spoiled
Surat,West,5.4,0.46,outside,plastic,Bakery,wet,baked,soft,strong,Spoiled
Bengaluru,South,0.1,0.01,outside,plastic,Vegetarian,wet,boiled,soggy,strong,Spoiled
Guwahati,East,4.0,2.78,outside,closed,Bakery,semi-wet,fried,moist,strong,Spoiled
Srinagar,North,4.0,0.23,outside,plastic,Dairy,dry,steamed,firm,fermented,Spoiled
Surat,West,19.5,4.77,outside,open,Bakery,semi-wet,fried,soggy,sour,Spoiled
Raipur,Central,17.1,1.74,refrigerated,open,Non-Vegetarian,dry,steamed,dry,neutral,Fresh
Ahmedabad,West,10.3,2.58,refrigerated,closed,Bakery,semi-wet,steamed,soft,fermented,Medium
Surat,West,21.1,5.08,outside,metal,Non-Vegetarian,dry,boiled,soft,sour,Spoiled
Madurai,South,1.3,0.09,refrigerated,plastic,Bakery,wet,fried,soggy,slight,Fresh
Srinagar,North,0.0,1.84,refrigerated,closed,Non-Vegetarian,semi-wet,baked,moist,sour,Fresh
Srinagar,North,8.8,3.96,outside,metal,Dairy,wet,baked,soggy,neutral,Spoiled
Mumbai,West,26.7,1.89,outside,open,Dairy,dry,fried,moist,slight,Spoiled
Jaipur,North,5.3,4.58,outside,metal,Non-Vegetarian,dry,fried,crispy,strong,Medium
Indore,Central,3.5,2.67,refrigerated,open,Bakery,semi-wet,steamed,dry,sour,Spoiled
Shillong,NorthEast,0.2,1.87,outside,metal,Vegetarian,dry,fried,soggy,strong,Medium
Madurai,South,14.9,6.08,refrigerated,closed,Seafood,semi-wet,fried,soft,sour,Medium
Jaipur,North,19.8,3.85,refrigerated,metal,Non-Vegetarian,dry,baked,dry,sour,Medium
Bengaluru,South,27.9,1.35,refrigerated,plastic,Non-Vegetarian,semi-wet,fried,crispy,neutral,Medium
Chennai,South,21.3,1.23,outside,plastic,Non-Vegetarian,wet,boiled,soft,sour,Spoiled
Bhopal,Central,10.5,1.2,outside,plastic,Dairy,semi-wet,steamed,soggy,sour,Spoiled
Madurai,South,5.1,6.51,outside,open,Dairy,dry,steamed,soggy,slight,Spoiled
Hyderabad,South,8.3,1.98,outside,metal,Bakery,dry,boiled,crispy,strong,Spoiled
Guwahati,East,20.2,2.33,refrigerated,plastic,Vegetarian,semi-wet,fried,soft,strong,Medium
Imphal,NorthEast,24.5,5.48,outside,plastic,Vegetarian,wet,baked,soft,strong,Spoiled
Chandigarh,North,10.2,2.69,outside,closed,Seafood,dry,boiled,crispy,fermented,Spoiled
Imphal,NorthEast,20.8,0.69,refrigerated,metal,Bakery,semi-wet,baked,crispy,fermented,Medium
Shillong,NorthEast,4.3,2.75,refrigerated,plastic,Dairy,semi-wet,steamed,firm,fermented,Spoiled
Kochi,South,0.0,2.36,refrigerated,metal,Non-Vegetarian,semi-wet,boiled,firm,strong,Fresh
Surat,West,11.0,0.31,refrigerated,plastic,Non-Vegetarian,semi-wet,baked,dry,fermented,Medium
Guwahati,NorthEast,20.3,4.04,outside,plastic,Bakery,dry,fried,dry,fermented,Spoiled
Srinagar,North,0.0,1.2,outside,closed,Non-Vegetarian,semi-wet,fried,soft,slight,Fresh
Bhopal,Central,0.0,7.33,refrigerated,closed,Seafood,dry,steamed,soggy,slight,Fresh
Kolkata,East,12.8,0.23,outside,metal,Bakery,semi-wet,steamed,crispy,sour,Spoiled
Srinagar,North,27.8,6.44,outside,open,Non-Vegetarian,dry,baked,soft,strong,Spoiled
Goa,West,13.4,1.24,outside,metal,Dairy,semi-wet,fried,crispy,neutral,Medium
Bengaluru,South,2.9,1.01,outside,metal,Dairy,wet,steamed,moist,fermented,Spoiled
Srinagar,North,9.1,2.21,outside,closed,Bakery,dry,fried,dry,sour,Spoiled
Nagpur,Central,9.6,3.71,refrigerated,metal,Dairy,wet,baked,moist,sour,Spoiled
Shillong,NorthEast,18.1,2.04,refrigerated,metal,Vegetarian,semi-wet,boiled,firm,strong,Medium
Ahmedabad,West,8.5,3.56,refrigerated,metal,Non-Vegetarian,wet,steamed,dry,strong,Medium
Delhi,North,0.1,1.73,outside,metal,Dairy,semi-wet,fried,crispy,neutral,Fresh
Shillong,NorthEast,15.8,3.58,refrigerated,closed,Seafood,semi-wet,fried,soft,slight,Fresh
Bengaluru,South,19.7,4.31,outside,open,Dairy,wet,steamed,soggy,strong,Spoiled
Indore,Central,12.2,1.97,outside,open,Non-Vegetarian,wet,boiled,dry,strong,Spoiled
Bengaluru,South,20.0,2.39,outside,metal,Dairy,wet,fried,soggy,fermented,Spoiled
Bengaluru,South,14.5,3.8,refrigerated,open,Dairy,semi-wet,baked,soft,slight,Medium
Goa,West,13.7,3.29,refrigerated,plastic,Seafood,dry,baked,moist,neutral,Medium
Mumbai,West,16.9,0.46,outside,open,Bakery,dry,fried,moist,fermented,Spoiled
Ahmedabad,West,19.9,0.47,outside,open,Non-Vegetarian,wet,fried,crispy,neutral,Medium
Imphal,NorthEast,10.0,0.74,refrigerated,closed,Seafood,semi-wet,boiled,soggy,neutral,Fresh
Surat,West,4.6,5.66,outside,closed,Bakery,wet,fried,moist,slight,Spoiled
Mumbai,West,29.7,4.81,refrigerated,open,Bakery,semi-wet,boiled,dry,sour,Spoiled
Srinagar,North,3.1,3.41,refrigerated,plastic,Seafood,semi-wet,fried,soft,fermented,Medium
Nagpur,Central,16.1,5.45,refrigerated,closed,Dairy,wet,fried,soft,strong,Medium
Bhopal,Central,21.3,2.06,refrigerated,closed,Dairy,semi-wet,fried,firm,sour,Medium
Imphal,NorthEast,0.7,1.34,refrigerated,plastic,Bakery,dry,boiled,dry,slight,Fresh
Pune,South,14.8,0.36,outside,open,Bakery,semi-wet,fried,soggy,slight,Medium
Goa,West,18.2,0.33,outside,metal,Vegetarian,semi-wet,steamed,dry,fermented,Spoiled
Kolkata,East,11.3,0.37,outside,plastic,Dairy,wet,boiled,firm,sour,Spoiled
Ahmedabad,West,22.9,0.15,refrigerated,plastic,Bakery,dry,baked,soggy,strong,Fresh
Srinagar,North,29.0,5.46,refrigerated,closed,Non-Vegetarian,semi-wet,boiled,crispy,fermented,Spoiled
Chennai,South,15.1,2.11,refrigerated,closed,Seafood,wet,boiled,soggy,neutral,Medium
Goa,West,15.3,1.82,outside,closed,Bakery,wet,steamed,firm,neutral,Spoiled
Patna,East,24.0,3.23,refrigerated,open,Non-Vegetarian,dry,baked,firm,neutral,Medium
Imphal,NorthEast,11.8,1.08,outside,open,Vegetarian,dry,fried,dry,fermented,Spoiled
Lucknow,North,17.7,4.6,outside,plastic,Non-Vegetarian,dry,baked,crispy,fermented,Spoiled
Hyderabad,South,6.9,3.22,refrigerated,plastic,Bakery,dry,baked,soggy,sour,Medium
Surat,West,20.0,0.16,refrigerated,open,Seafood,semi-wet,baked,soft,strong,Fresh
Guwahati,East,29.5,0.48,refrigerated,metal,Dairy,semi-wet,fried,moist,strong,Fresh
Raipur,Central,0.0,1.18,refrigerated,open,Vegetarian,dry,baked,soggy,fermented,Medium
Mumbai,West,7.2,7.24,outside,open,Seafood,semi-wet,boiled,crispy,strong,Spoiled
Guwahati,NorthEast,11.0,0.71,outside,metal,Vegetarian,wet,steamed,moist,sour,Spoiled
Mumbai,West,17.1,2.07,refrigerated,plastic,Vegetarian,semi-wet,fried,soggy,sour,Spoiled
Chandigarh,North,13.6,4.07,refrigerated,open,Vegetarian,semi-wet,boiled,moist,fermented,Spoiled
Hyderabad,South,15.6,2.08,outside,open,Vegetarian,dry,baked,moist,strong,Spoiled
Imphal,NorthEast,4.9,3.16,outside,open,Seafood,wet,fried,moist,slight,Spoiled
Surat,West,9.4,6.96,refrigerated,metal,Non-Vegetarian,wet,baked,firm,slight,Medium
Madurai,South,23.4,3.22,outside,closed,Bakery,wet,boiled,crispy,neutral,Spoiled
Surat,West,4.1,3.21,outside,open,Non-Vegetarian,wet,steamed,soft,sour,Spoiled
Kolkata,East,20.4,0.31,outside,open,Vegetarian,wet,boiled,firm,strong,Spoiled
Guwahati,NorthEast,1.5,2.33,refrigerated,open,Seafood,dry,boiled,soggy,sour,Medium
Mumbai,West,10.2,4.51,outside,metal,Dairy,wet,boiled,firm,slight,Spoiled
Shillong,NorthEast,26.4,2.95,outside,plastic,Bakery,dry,fried,crispy,slight,Spoiled
Mumbai,West,26.4,4.47,outside,metal,Bakery,wet,baked,crispy,fermented,Spoiled
Guwahati,NorthEast,17.6,4.88,outside,open,Vegetarian,wet,boiled,dry,strong,Spoiled
Indore,Central,27.5,0.37,outside,open,Bakery,dry,baked,dry,slight,Medium
Srinagar,North,24.6,0.0,refrigerated,plastic,Dairy,wet,fried,firm,sour,Medium
Nagpur,Central,0.0,2.98,refrigerated,closed,Bakery,dry,boiled,firm,fermented,Medium
Chandigarh,North,5.0,3.28,refrigerated,plastic,Bakery,semi-wet,boiled,crispy,sour,Medium
Guwahati,NorthEast,0.0,2.09,outside,closed,Non-Vegetarian,wet,baked,firm,slight,Medium
Imphal,NorthEast,9.9,3.6,refrigerated,plastic,Bakery,semi-wet,boiled,crispy,slight,Medium
Mumbai,West,9.9,4.67,outside,metal,Seafood,dry,fried,dry,slight,Medium
Surat,West,7.1,7.04,outside,closed,Dairy,semi-wet,boiled,firm,sour,Spoiled
Bhopal,Central,16.4,3.78,refrigerated,open,Vegetarian,wet,boiled,soft,neutral,Medium
Delhi,North,15.4,4.1,outside,closed,Bakery,wet,fried,crispy,fermented,Spoiled
Kochi,South,23.3,2.72,outside,closed,Non-Vegetarian,dry,steamed,dry,strong,Spoiled
Bhopal,Central,30.2,3.26,refrigerated,open,Non-Vegetarian,dry,boiled,soggy,fermented,Spoiled
Bhubaneswar,East,14.5,0.09,refrigerated,metal,Vegetarian,dry,baked,crispy,neutral,Fresh
Goa,West,0.0,3.88,refrigerated,plastic,Non-Vegetarian,dry,boiled,dry,neutral,Fresh
Lucknow,North,8.1,5.01,outside,metal,Dairy,dry,steamed,soft,neutral,Spoiled
Shillong,NorthEast,16.1,2.92,refrigerated,metal,Bakery,wet,boiled,soft,fermented,Spoiled
Chandigarh,North,6.3,1.41,outside,open,Seafood,dry,baked,dry,sour,Spoiled
Surat,West,13.6,6.93,outside,open,Dairy,semi-wet,baked,soft,sour,Spoiled
Shillong,NorthEast,0.0,1.92,refrigerated,metal,Dairy,wet,steamed,moist,neutral,Fresh
Guwahati,NorthEast,17.6,6.24,refrigerated,closed,Non-Vegetarian,semi-wet,fried,soggy,sour,Medium
Bhubaneswar,East,13.6,2.16,refrigerated,open,Seafood,semi-wet,boiled,dry,slight,Medium
Bhubaneswar,East,4.8,2.99,outside,plastic,Dairy,semi-wet,fried,firm,slight,Spoiled
Goa,West,0.0,6.42,refrigerated,closed,Dairy,dry,baked,dry,neutral,Fresh
Shillong,NorthEast,0.0,1.57,refrigerated,plastic,Seafood,wet,fried,moist,strong,Medium
Indore,Central,27.5,1.91,outside,open,Bakery,semi-wet,boiled,soft,sour,Spoiled
Ahmedabad,West,19.5,0.21,outside,open,Seafood,dry,boiled,soggy,sour,Spoiled
Jaipur,North,13.0,8.82,outside,metal,Vegetarian,wet,fried,soft,slight,Spoiled
Lucknow,North,0.0,0.49,outside,open,Seafood,wet,steamed,soggy,strong,Spoiled
Delhi,North,11.7,4.83,refrigerated,metal,Bakery,semi-wet,baked,soggy,sour,Medium
Hyderabad,South,17.1,3.9,outside,open,Dairy,semi-wet,fried,firm,strong,Spoiled
Pune,South,16.9,1.89,refrigerated,open,Vegetarian,wet,steamed,soggy,strong,Spoiled
Bhopal,Central,10.9,2.53,refrigerated,metal,Vegetarian,wet,baked,soggy,strong,Medium
Patna,East,19.9,3.16,refrigerated,open,Vegetarian,dry,boiled,moist,neutral,Medium
Raipur,Central,21.7,4.1,outside,closed,Seafood,semi-wet,steamed,crispy,sour,Spoiled
Ahmedabad,West,14.8,3.96,outside,plastic,Non-Vegetarian,wet,steamed,soggy,slight,Spoiled
Shillong,NorthEast,6.1,5.5,outside,metal,Seafood,dry,fried,crispy,fermented,Spoiled
Guwahati,East,25.1,1.61,outside,plastic,Non-Vegetarian,wet,fried,moist,strong,Spoiled
Bengaluru,South,11.6,5.91,refrigerated,metal,Non-Vegetarian,semi-wet,boiled,soggy,fermented,Medium
Hyderabad,South,20.7,4.67,outside,plastic,Dairy,semi-wet,baked,crispy,sour,Spoiled
Imphal,NorthEast,15.5,4.66,outside,open,Dairy,wet,boiled,crispy,slight,Spoiled
Patna,East,14.8,1.02,refrigerated,plastic,Dairy,dry,steamed,crispy,fermented,Medium
Guwahati,NorthEast,9.3,2.47,outside,metal,Seafood,semi-wet,fried,crispy,sour,Spoiled
Lucknow,North,18.3,4.14,outside,metal,Vegetarian,semi-wet,steamed,moist,neutral,Spoiled
Indore,Central,1.2,1.21,outside,plastic,Seafood,wet,boiled,firm,strong,Spoiled
Ahmedabad,West,8.3,2.23,refrigerated,metal,Dairy,dry,steamed,moist,sour,Medium
Chennai,South,8.2,3.76,refrigerated,closed,Vegetarian,semi-wet,baked,moist,sour,Medium
Nagpur,Central,0.0,2.09,refrigerated,plastic,Bakery,wet,baked,dry,strong,Medium
Chandigarh,North,0.6,1.93,outside,metal,Dairy,wet,boiled,moist,strong,Spoiled
Madurai,South,15.4,1.02,outside,closed,Non-Vegetarian,wet,steamed,soggy,sour,Spoiled
Surat,West,17.0,3.27,refrigerated,closed,Dairy,wet,baked,dry,strong,Medium
Goa,West,2.7,0.4,refrigerated,plastic,Dairy,dry,fried,dry,fermented,Fresh
Guwahati,NorthEast,6.2,6.58,outside,closed,Vegetarian,semi-wet,boiled,firm,slight,Spoiled
Bhubaneswar,East,20.2,3.57,refrigerated,metal,Bakery,dry,boiled,moist,strong,Medium
Guwahati,East,0.0,2.96,outside,open,Vegetarian,wet,steamed,crispy,sour,Spoiled
Chandigarh,North,12.0,0.95,outside,metal,Seafood,wet,baked,dry,sour,Spoiled
Kochi,South,15.0,5.32,outside,plastic,Seafood,semi-wet,boiled,firm,fermented,Spoiled
Imphal,NorthEast,11.9,1.58,refrigerated,plastic,Non-Vegetarian,wet,fried,soggy,sour,Spoiled
Nagpur,Central,8.8,3.75,refrigerated,closed,Dairy,semi-wet,steamed,soggy,fermented,Medium
Imphal,NorthEast,0.0,2.49,outside,closed,Bakery,wet,fried,moist,fermented,Spoiled
Raipur,Central,0.0,0.39,refrigerated,closed,Vegetarian,semi-wet,baked,soft,strong,Fresh
Raipur,Central,12.0,0.62,refrigerated,closed,Seafood,wet,fried,soggy,slight,Fresh
Lucknow,North,15.0,2.68,refrigerated,closed,Bakery,semi-wet,fried,crispy,slight,Fresh
Guwahati,East,14.7,0.49,outside,open,Vegetarian,dry,fried,dry,slight,Medium
Delhi,North,15.2,8.05,refrigerated,plastic,Non-Vegetarian,wet,fried,soggy,neutral,Medium
Goa,West,23.8,8.51,outside,closed,Vegetarian,dry,baked,firm,neutral,Spoiled
Pune,South,15.2,1.04,outside,closed,Seafood,dry,fried,dry,slight,Medium
Madurai,South,14.5,4.84,outside,closed,Seafood,semi-wet,fried,moist,fermented,Spoiled
Imphal,NorthEast,8.7,3.6,refrigerated,metal,Dairy,dry,steamed,soft,neutral,Fresh
Delhi,North,4.0,0.83,outside,metal,Dairy,semi-wet,boiled,soft,slight,Medium
Patna,East,0.0,1.9,outside,metal,Dairy,semi-wet,fried,firm,strong,Medium
Kochi,South,22.5,1.09,outside,open,Bakery,semi-wet,steamed,soggy,neutral,Spoiled
Shillong,NorthEast,0.0,0.13,outside,open,Vegetarian,wet,fried,soggy,neutral,Medium
Raipur,Central,2.5,0.94,refrigerated,metal,Bakery,semi-wet,steamed,soggy,strong,Fresh
Lucknow,North,11.6,3.68,refrigerated,open,Dairy,wet,steamed,soggy,neutral,Medium
Lucknow,North,32.5,1.2,outside,closed,Dairy,dry,steamed,dry,strong,Spoiled
Mumbai,West,28.1,2.88,refrigerated,open,Dairy,semi-wet,fried,soggy,fermented,Spoiled
Kolkata,East,8.6,0.11,refrigerated,metal,Dairy,wet,fried,soggy,sour,Medium
Mumbai,West,10.3,2.02,refrigerated,plastic,Dairy,dry,baked,crispy,neutral,Medium
Indore,Central,23.2,4.53,outside,closed,Dairy,semi-wet,baked,soggy,neutral,Spoiled
Guwahati,NorthEast,13.5,5.96,refrigerated,open,Vegetarian,wet,boiled,crispy,slight,Medium
Goa,West,13.8,5.1,refrigerated,metal,Dairy,dry,fried,crispy,neutral,Fresh
Indore,Central,0.0,1.14,refrigerated,metal,Bakery,wet,boiled,soft,neutral,Fresh
Bhubaneswar,East,9.4,1.69,refrigerated,open,Seafood,semi-wet,boiled,soggy,neutral,Medium
Shillong,NorthEast,24.5,0.16,refrigerated,plastic,Bakery,semi-wet,baked,soft,strong,Medium
Jaipur,North,24.2,1.26,outside,metal,Dairy,dry,boiled,moist,slight,Medium
Bengaluru,South,17.3,4.14,refrigerated,open,Seafood,semi-wet,steamed,crispy,neutral,Medium
Raipur,Central,28.5,1.33,refrigerated,open,Dairy,wet,steamed,soft,fermented,Spoiled
Delhi,North,6.1,9.41,refrigerated,metal,Non-Vegetarian,dry,fried,moist,fermented,Medium
Kolkata,East,24.4,2.03,outside,plastic,Dairy,wet,boiled,soft,sour,Spoiled
Mumbai,West,16.2,0.28,outside,closed,Bakery,semi-wet,fried,firm,neutral,Medium
Kolkata,East,17.8,6.22,refrigerated,plastic,Vegetarian,wet,steamed,crispy,neutral,Medium
Ahmedabad,West,9.6,5.38,refrigerated,open,Vegetarian,wet,steamed,soggy,slight,Spoiled
Bhubaneswar,East,21.2,1.33,refrigerated,closed,Seafood,dry,steamed,crispy,neutral,Fresh
Surat,West,13.2,3.17,refrigerated,metal,Vegetarian,dry,fried,moist,strong,Fresh
Srinagar,North,27.7,2.66,refrigerated,open,Vegetarian,semi-wet,steamed,soggy,strong,Spoiled
Surat,West,17.8,4.53,outside,plastic,Bakery,semi-wet,boiled,firm,sour,Spoiled
Nagpur,Central,12.9,2.91,refrigerated,plastic,Vegetarian,semi-wet,fried,crispy,sour,Spoiled
Chandigarh,North,5.5,0.4,refrigerated,plastic,Vegetarian,wet,boiled,firm,strong,Fresh
Guwahati,East,9.1,0.22,outside,open,Seafood,semi-wet,baked,moist,strong,Spoiled
Mumbai,West,6.6,3.48,outside,closed,Vegetarian,semi-wet,boiled,dry,sour,Spoiled
Guwahati,NorthEast,12.4,4.12,refrigerated,open,Bakery,wet,baked,dry,slight,Medium
Hyderabad,South,11.9,2.66,outside,metal,Seafood,semi-wet,baked,firm,fermented,Spoiled
Kolkata,East,0.9,2.76,outside,open,Bakery,dry,baked,dry,sour,Spoiled
Goa,West,16.2,6.1,refrigerated,open,Non-Vegetarian,wet,baked,firm,slight,Medium
Srinagar,North,26.5,3.42,outside,open,Seafood,dry,fried,soft,fermented,Spoiled
Raipur,Central,18.7,5.85,outside,plastic,Vegetarian,dry,fried,soggy,fermented,Spoiled
Kolkata,East,18.4,0.15,outside,plastic,Bakery,semi-wet,fried,moist,strong,Spoiled
Bhopal,Central,5.1,1.55,refrigerated,open,Dairy,dry,fried,dry,sour,Medium
Bhopal,Central,19.9,0.58,outside,metal,Seafood,wet,fried,crispy,fermented,Spoiled
Nagpur,Central,21.6,0.36,refrigerated,open,Non-Vegetarian,dry,boiled,soggy,neutral,Fresh
Shillong,NorthEast,9.4,4.52,outside,plastic,Bakery,dry,fried,dry,sour,Spoiled
Shillong,NorthEast,29.1,1.21,refrigerated,open,Non-Vegetarian,semi-wet,baked,soggy,neutral,Medium
Mumbai,West,23.5,4.46,outside,plastic,Dairy,dry,fried,firm,neutral,Spoiled
Imphal,NorthEast,19.4,1.51,refrigerated,open,Non-Vegetarian,semi-wet,boiled,soft,sour,Spoiled
Surat,West,21.5,0.47,outside,metal,Seafood,dry,fried,moist,sour,Medium
Patna,East,8.2,1.4,refrigerated,metal,Seafood,semi-wet,steamed,soggy,strong,Medium
Hyderabad,South,17.9,5.7,outside,open,Dairy,semi-wet,steamed,firm,slight,Spoiled
Kolkata,East,20.2,6.08,refrigerated,closed,Non-Vegetarian,dry,boiled,dry,sour,Spoiled
Raipur,Central,1.5,1.98,refrigerated,metal,Bakery,dry,boiled,soggy,sour,Fresh
Guwahati,East,16.4,6.15,refrigerated,plastic,Vegetarian,semi-wet,boiled,moist,strong,Spoiled
Madurai,South,18.3,4.55,outside,open,Seafood,dry,steamed,soggy,neutral,Spoiled
Bhopal,Central,1.8,3.27,refrigerated,open,Seafood,dry,fried,crispy,strong,Fresh
Guwahati,East,7.0,6.84,refrigerated,metal,Non-Vegetarian,wet,boiled,soft,strong,Medium
Shillong,NorthEast,13.5,1.09,outside,plastic,Non-Vegetarian,semi-wet,steamed,firm,neutral,Spoiled
Bhopal,Central,0.0,5.71,refrigerated,open,Vegetarian,wet,steamed,soggy,neutral,Medium
Guwahati,NorthEast,43.7,0.72,outside,metal,Seafood,wet,baked,firm,strong,Spoiled
Bengaluru,South,16.2,5.3,refrigerated,open,Dairy,dry,baked,moist,strong,Medium
Pune,South,36.7,1.17,outside,metal,Bakery,semi-wet,baked,moist,sour,Spoiled
